Country,Happiness_Rank,Year,Happiness_Score,Type,Value
Kyrgyzstan,67,2021,5.744,Generosity,0.266
Greece,68,2021,5.723,Generosity,0.0
Bolivia,69,2021,5.716,Generosity,0.138
Mongolia,70,2021,5.677,Generosity,0.263
Paraguay,71,2021,5.653,Generosity,0.206
Montenegro,72,2021,5.581,Generosity,0.166
Dominican Republic,73,2021,5.545,Generosity,0.101
North Cyprus,74,2021,5.536,Generosity,0.196
Belarus,75,2021,5.534,Generosity,0.07
Russia,76,2021,5.477,Generosity,0.115
Hong Kong S.A.R. of China,77,2021,5.477,Generosity,0.232
Tajikistan,78,2021,5.466,Generosity,0.152
Vietnam,79,2021,5.411,Generosity,0.124
Libya,80,2021,5.41,Generosity,0.131
Malaysia,81,2021,5.384,Generosity,0.27
Indonesia,82,2021,5.345,Generosity,0.541
Congo (Brazzaville),83,2021,5.342,Generosity,0.144
China,84,2021,5.339,Generosity,0.093
Ivory Coast,85,2021,5.306,Generosity,0.177
Armenia,86,2021,5.283,Generosity,0.079
Nepal,87,2021,5.269,Generosity,0.287
Bulgaria,88,2021,5.266,Generosity,0.125
Maldives,89,2021,5.198,Generosity,0.204
Azerbaijan,90,2021,5.171,Generosity,0.043
Cameroon,91,2021,5.142,Generosity,0.205
Senegal,92,2021,5.132,Generosity,0.158
Albania,93,2021,5.117,Generosity,0.168
North Macedonia,94,2021,5.101,Generosity,0.212
Ghana,95,2021,5.088,Generosity,0.268
Niger,96,2021,5.074,Generosity,0.2
Turkmenistan,97,2021,5.066,Generosity,0.366
Gambia,98,2021,5.051,Generosity,0.465
Benin,99,2021,5.045,Generosity,0.166
Laos,100,2021,5.03,Generosity,0.268
Bangladesh,101,2021,5.025,Generosity,0.161
Guinea,102,2021,4.984,Generosity,0.25
South Africa,103,2021,4.956,Generosity,0.144
Turkey,104,2021,4.948,Generosity,0.097
Pakistan,105,2021,4.934,Generosity,0.252
Morocco,106,2021,4.918,Generosity,0.034
Venezuela,107,2021,4.892,Generosity,0.078
Georgia,108,2021,4.891,Generosity,0.032
Algeria,109,2021,4.887,Generosity,0.144
Ukraine,110,2021,4.875,Generosity,0.181
Iraq,111,2021,4.854,Generosity,0.153
Gabon,112,2021,4.852,Generosity,0.058
Burkina Faso,113,2021,4.834,Generosity,0.182
Cambodia,114,2021,4.83,Generosity,0.21
Mozambique,115,2021,4.794,Generosity,0.228
Nigeria,116,2021,4.759,Generosity,0.212
Mali,117,2021,4.723,Generosity,0.164
Iran,118,2021,4.721,Generosity,0.33
Uganda,119,2021,4.636,Generosity,0.267
Liberia,120,2021,4.625,Generosity,0.221
Kenya,121,2021,4.607,Generosity,0.375
Tunisia,122,2021,4.596,Generosity,0.057
Lebanon,123,2021,4.584,Generosity,0.14
Namibia,124,2021,4.574,Generosity,0.091
Palestinian Territories,125,2021,4.517,Generosity,0.082
Myanmar,126,2021,4.426,Generosity,0.52
Jordan,127,2021,4.395,Generosity,0.079
Chad,128,2021,4.355,Generosity,0.215
Sri Lanka,129,2021,4.325,Generosity,0.239
Swaziland,130,2021,4.308,Generosity,0.067
Comoros,131,2021,4.289,Generosity,0.241
Egypt,132,2021,4.283,Generosity,0.069
Ethiopia,133,2021,4.275,Generosity,0.241
Mauritania,134,2021,4.227,Generosity,0.119
Madagascar,135,2021,4.208,Generosity,0.185
Togo,136,2021,4.107,Generosity,0.209
Zambia,137,2021,4.073,Generosity,0.227
Sierra Leone,138,2021,3.849,Generosity,0.243
India,139,2021,3.819,Generosity,0.246
Burundi,140,2021,3.775,Generosity,0.172
Yemen,141,2021,3.658,Generosity,0.092
Tanzania,142,2021,3.623,Generosity,0.307
Haiti,143,2021,3.615,Generosity,0.463
Malawi,144,2021,3.6,Generosity,0.213
Lesotho,145,2021,3.512,Generosity,0.103
Botswana,146,2021,3.467,Generosity,0.027
Rwanda,147,2021,3.415,Generosity,0.227
Zimbabwe,148,2021,3.145,Generosity,0.157
Afghanistan,149,2021,2.523,Generosity,0.122
Finland,1,2021,7.842,Perceptions of corruption,0.481
Denmark,2,2021,7.62,Perceptions of corruption,0.485
Switzerland,3,2021,7.571,Perceptions of corruption,0.413
Iceland,4,2021,7.554,Perceptions of corruption,0.17
Netherlands,5,2021,7.464,Perceptions of corruption,0.384
Norway,6,2021,7.392,Perceptions of corruption,0.427
Sweden,7,2021,7.363,Perceptions of corruption,0.448
Luxembourg,8,2021,7.324,Perceptions of corruption,0.353
New Zealand,9,2021,7.277,Perceptions of corruption,0.445
Austria,10,2021,7.268,Perceptions of corruption,0.292
Australia,11,2021,7.183,Perceptions of corruption,0.317
Israel,12,2021,7.157,Perceptions of corruption,0.119
Germany,13,2021,7.155,Perceptions of corruption,0.306
Canada,14,2021,7.103,Perceptions of corruption,0.335
Ireland,15,2021,7.085,Perceptions of corruption,0.367
Costa Rica,16,2021,7.069,Perceptions of corruption,0.083
United Kingdom,17,2021,7.064,Perceptions of corruption,0.306
Czech Republic,18,2021,6.965,Perceptions of corruption,0.046
United States,19,2021,6.951,Perceptions of corruption,0.154
Belgium,20,2021,6.834,Perceptions of corruption,0.187
France,21,2021,6.69,Perceptions of corruption,0.235
Bahrain,22,2021,6.647,Perceptions of corruption,0.139
Malta,23,2021,6.602,Perceptions of corruption,0.183
Taiwan Province of China,24,2021,6.584,Perceptions of corruption,0.139
United Arab Emirates,25,2021,6.561,Perceptions of corruption,0.223
Saudi Arabia,26,2021,6.494,Perceptions of corruption,0.163
Spain,27,2021,6.491,Perceptions of corruption,0.124
Italy,28,2021,6.483,Perceptions of corruption,0.047
Slovenia,29,2021,6.461,Perceptions of corruption,0.085
Guatemala,30,2021,6.435,Perceptions of corruption,0.105
Uruguay,31,2021,6.431,Perceptions of corruption,0.223
Singapore,32,2021,6.377,Perceptions of corruption,0.547
Kosovo,33,2021,6.372,Perceptions of corruption,0.014
Slovakia,34,2021,6.331,Perceptions of corruption,0.018
Brazil,35,2021,6.33,Perceptions of corruption,0.117
Mexico,36,2021,6.317,Perceptions of corruption,0.089
Jamaica,37,2021,6.309,Perceptions of corruption,0.035
Lithuania,38,2021,6.255,Perceptions of corruption,0.073
Cyprus,39,2021,6.223,Perceptions of corruption,0.061
Estonia,40,2021,6.189,Perceptions of corruption,0.263
Panama,41,2021,6.18,Perceptions of corruption,0.053
Uzbekistan,42,2021,6.179,Perceptions of corruption,0.271
Chile,43,2021,6.172,Perceptions of corruption,0.07
Poland,44,2021,6.166,Perceptions of corruption,0.13
Kazakhstan,45,2021,6.152,Perceptions of corruption,0.132
Romania,46,2021,6.14,Perceptions of corruption,0.001
Kuwait,47,2021,6.106,Perceptions of corruption,0.13
Serbia,48,2021,6.078,Perceptions of corruption,0.066
El Salvador,49,2021,6.061,Perceptions of corruption,0.16
Mauritius,50,2021,6.049,Perceptions of corruption,0.096
Latvia,51,2021,6.032,Perceptions of corruption,0.089
Colombia,52,2021,6.012,Perceptions of corruption,0.063
Hungary,53,2021,5.992,Perceptions of corruption,0.04
Thailand,54,2021,5.985,Perceptions of corruption,0.028
Nicaragua,55,2021,5.972,Perceptions of corruption,0.176
Japan,56,2021,5.94,Perceptions of corruption,0.192
Argentina,57,2021,5.929,Perceptions of corruption,0.067
Portugal,58,2021,5.929,Perceptions of corruption,0.033
Honduras,59,2021,5.919,Perceptions of corruption,0.083
Croatia,60,2021,5.882,Perceptions of corruption,0.0
Philippines,61,2021,5.88,Perceptions of corruption,0.126
South Korea,62,2021,5.845,Perceptions of corruption,0.135
Peru,63,2021,5.84,Perceptions of corruption,0.031
Bosnia and Herzegovina,64,2021,5.813,Perceptions of corruption,0.005
Moldova,65,2021,5.766,Perceptions of corruption,0.013
Ecuador,66,2021,5.764,Perceptions of corruption,0.062
Kyrgyzstan,67,2021,5.744,Perceptions of corruption,0.02
Greece,68,2021,5.723,Perceptions of corruption,0.074
Bolivia,69,2021,5.716,Perceptions of corruption,0.064
Mongolia,70,2021,5.677,Perceptions of corruption,0.053
Paraguay,71,2021,5.653,Perceptions of corruption,0.037
Montenegro,72,2021,5.581,Perceptions of corruption,0.081
Dominican Republic,73,2021,5.545,Perceptions of corruption,0.144
North Cyprus,74,2021,5.536,Perceptions of corruption,0.2
Belarus,75,2021,5.534,Perceptions of corruption,0.199
Russia,76,2021,5.477,Perceptions of corruption,0.06
Hong Kong S.A.R. of China,77,2021,5.477,Perceptions of corruption,0.342
Tajikistan,78,2021,5.466,Perceptions of corruption,0.247
Vietnam,79,2021,5.411,Perceptions of corruption,0.091
Libya,80,2021,5.41,Perceptions of corruption,0.174
Malaysia,81,2021,5.384,Perceptions of corruption,0.064
Indonesia,82,2021,5.345,Perceptions of corruption,0.046
Congo (Brazzaville),83,2021,5.342,Perceptions of corruption,0.124
China,84,2021,5.339,Perceptions of corruption,0.117
Ivory Coast,85,2021,5.306,Perceptions of corruption,0.092
Armenia,86,2021,5.283,Perceptions of corruption,0.198
Nepal,87,2021,5.269,Perceptions of corruption,0.135
Bulgaria,88,2021,5.266,Perceptions of corruption,0.005
Maldives,89,2021,5.198,Perceptions of corruption,0.073
Azerbaijan,90,2021,5.171,Perceptions of corruption,0.276
Cameroon,91,2021,5.142,Perceptions of corruption,0.058
Senegal,92,2021,5.132,Perceptions of corruption,0.088
Albania,93,2021,5.117,Perceptions of corruption,0.024
North Macedonia,94,2021,5.101,Perceptions of corruption,0.022
Ghana,95,2021,5.088,Perceptions of corruption,0.058
Niger,96,2021,5.074,Perceptions of corruption,0.157
Turkmenistan,97,2021,5.066,Perceptions of corruption,0.033
Gambia,98,2021,5.051,Perceptions of corruption,0.123
Benin,99,2021,5.045,Perceptions of corruption,0.178
Laos,100,2021,5.03,Perceptions of corruption,0.179
Bangladesh,101,2021,5.025,Perceptions of corruption,0.164
Guinea,102,2021,4.984,Perceptions of corruption,0.111
South Africa,103,2021,4.956,Perceptions of corruption,0.051
Turkey,104,2021,4.948,Perceptions of corruption,0.104
Pakistan,105,2021,4.934,Perceptions of corruption,0.097
Morocco,106,2021,4.918,Perceptions of corruption,0.088
Venezuela,107,2021,4.892,Perceptions of corruption,0.072
Georgia,108,2021,4.891,Perceptions of corruption,0.181
Algeria,109,2021,4.887,Perceptions of corruption,0.12
Ukraine,110,2021,4.875,Perceptions of corruption,0.01
Iraq,111,2021,4.854,Perceptions of corruption,0.041
Gabon,112,2021,4.852,Perceptions of corruption,0.064
Burkina Faso,113,2021,4.834,Perceptions of corruption,0.122
Cambodia,114,2021,4.83,Perceptions of corruption,0.061
Mozambique,115,2021,4.794,Perceptions of corruption,0.163
Nigeria,116,2021,4.759,Perceptions of corruption,0.039
Mali,117,2021,4.723,Perceptions of corruption,0.072
Iran,118,2021,4.721,Perceptions of corruption,0.144
Uganda,119,2021,4.636,Perceptions of corruption,0.054
Liberia,120,2021,4.625,Perceptions of corruption,0.057
Kenya,121,2021,4.607,Perceptions of corruption,0.073
Tunisia,122,2021,4.596,Perceptions of corruption,0.044
Lebanon,123,2021,4.584,Perceptions of corruption,0.026
Namibia,124,2021,4.574,Perceptions of corruption,0.059
Palestinian Territories,125,2021,4.517,Perceptions of corruption,0.075
Myanmar,126,2021,4.426,Perceptions of corruption,0.178
Jordan,127,2021,4.395,Perceptions of corruption,0.15
Chad,128,2021,4.355,Perceptions of corruption,0.084
Sri Lanka,129,2021,4.325,Perceptions of corruption,0.049
Swaziland,130,2021,4.308,Perceptions of corruption,0.147
Comoros,131,2021,4.289,Perceptions of corruption,0.101
Egypt,132,2021,4.283,Perceptions of corruption,0.092
Ethiopia,133,2021,4.275,Perceptions of corruption,0.114
Mauritania,134,2021,4.227,Perceptions of corruption,0.133
Madagascar,135,2021,4.208,Perceptions of corruption,0.087
Togo,136,2021,4.107,Perceptions of corruption,0.107
Zambia,137,2021,4.073,Perceptions of corruption,0.074
Sierra Leone,138,2021,3.849,Perceptions of corruption,0.047
India,139,2021,3.819,Perceptions of corruption,0.106
Burundi,140,2021,3.775,Perceptions of corruption,0.212
Yemen,141,2021,3.658,Perceptions of corruption,0.089
Tanzania,142,2021,3.623,Perceptions of corruption,0.231
Haiti,143,2021,3.615,Perceptions of corruption,0.139
Malawi,144,2021,3.6,Perceptions of corruption,0.134
Lesotho,145,2021,3.512,Perceptions of corruption,0.015
Botswana,146,2021,3.467,Perceptions of corruption,0.088
Rwanda,147,2021,3.415,Perceptions of corruption,0.493
Zimbabwe,148,2021,3.145,Perceptions of corruption,0.075
Afghanistan,149,2021,2.523,Perceptions of corruption,0.01
